,Open,High,Low,Close,Volume
2025-09-01,1886.75,1904.85,1884.05,1900.15,67808
2025-09-02,1911.8,1917.4,1877.7,1888.75,78174
2025-09-03,1888.75,1891.85,1869.05,1883.7,100452
2025-09-04,1903.9,1903.9,1876.8,1880.3,391723
2025-09-05,1889.85,1910.5,1876.0,1896.4,136711
2025-09-08,1896.65,1899.4,1884.25,1887.1,73958
2025-09-09,1887.9,1903.8,1883.7,1893.35,69469
2025-09-10,1905.0,1905.25,1883.4,1890.7,139837
2025-09-11,1875.1,1916.35,1875.1,1912.75,475388
2025-09-12,1916.8,1925.3,1901.1,1904.1,71177
2025-09-15,1900.2,1912.7,1898.05,1904.55,175647
2025-09-16,1902.35,1942.0,1902.0,1939.85,132205
2025-09-17,1940.0,1949.9,1933.25,1941.0,124692
2025-09-18,1944.9,1950.55,1920.9,1942.0,471963
2025-09-19,1934.75,1976.45,1928.0,1962.35,157900
2025-09-22,1955.5,1965.6,1945.25,1955.75,58342
2025-09-23,1951.0,1954.35,1930.15,1939.1,75770
2025-09-24,1925.0,1937.55,1919.0,1930.05,161510
2025-09-25,1925.3,1950.05,1925.3,1936.05,425293
2025-09-26,1930.05,1941.7,1911.6,1916.7,213268
2025-09-29,1918.6,1925.55,1897.25,1901.3,100948
2025-09-30,1895.0,1907.55,1875.7,1878.0,31489
2025-10-01,1855.55,1875.6,1855.55,1867.35,384373
2025-10-03,1849.95,1900.6,1848.45,1895.6,58328
2025-10-06,1888.9,1906.8,1888.55,1902.55,110682
2025-10-07,1911.7,1946.65,1901.0,1929.2,183181
2025-10-08,1933.65,1962.5,1928.9,1942.85,247730
2025-10-09,1948.7,1948.7,1931.45,1941.3,406590
2025-10-10,1940.9,1948.0,1935.0,1939.6,77116
2025-10-13,1938.0,1966.15,1938.0,1955.05,91113
2025-10-14,1967.95,1967.95,1938.85,1946.2,49886
2025-10-15,1955.0,1975.95,1952.4,1969.2,176910
2025-10-16,1966.0,1986.75,1961.3,1967.1,372854
