,Open,High,Low,Close,Volume
2025-08-29,955.95,963.45,950.0,951.45,539645
2025-09-01,951.45,957.35,946.5,950.7,269192
2025-09-02,950.5,954.0,943.85,944.4,384042
2025-09-03,947.25,956.3,940.0,953.8,421542
2025-09-04,961.9,965.8,956.25,961.2,787031
2025-09-05,967.0,967.0,954.1,962.9,133679
2025-09-08,968.9,973.35,960.5,965.75,286257
2025-09-09,971.0,974.5,963.5,964.9,375700
2025-09-10,973.8,974.35,961.75,966.05,522764
2025-09-11,961.95,969.4,959.55,968.1,1072864
2025-09-12,970.05,970.5,962.25,966.9,594769
2025-09-15,969.8,972.4,964.9,966.7,244333
2025-09-16,965.95,969.25,962.8,966.95,471449
2025-09-17,966.9,974.4,964.45,966.4,561447
2025-09-18,973.65,979.65,969.15,976.55,873223
2025-09-19,976.35,976.35,962.05,967.05,1228569
2025-09-22,967.0,971.0,962.0,963.8,355063
2025-09-23,965.15,968.65,955.4,957.55,676523
2025-09-24,952.05,956.95,943.25,950.5,503341
2025-09-25,952.7,958.25,947.35,949.6,1508885
2025-09-26,945.0,951.4,941.6,945.15,991028
2025-09-29,945.0,956.9,939.05,950.45,582978
2025-09-30,955.0,959.6,946.45,951.15,223686
2025-10-01,951.4,969.45,946.2,965.2,1789291
2025-10-03,949.95,966.95,949.95,964.75,489548
2025-10-06,973.4,977.0,962.15,973.75,938322
2025-10-07,973.75,989.8,971.0,982.3,1634607
2025-10-08,980.95,985.95,974.55,978.75,1062911
2025-10-09,974.8,978.75,970.0,977.15,2508131
2025-10-10,977.2,986.0,977.2,980.9,779152
2025-10-13,973.05,981.0,972.0,977.95,572440
2025-10-14,971.95,980.45,969.0,977.1,245931
2025-10-15,977.05,985.0,973.05,979.15,645625
2025-10-16,979.6,996.5,979.6,994.25,1468807
2025-10-17,994.25,1008.9,987.05,1002.5,446832
2025-10-20,999.0,1020.0,998.5,1003.3,429243
2025-10-23,1019.8,1020.35,1005.0,1008.95,1772998
2025-10-24,1008.9,1011.9,991.5,994.7,346012
2025-10-27,994.75,1009.65,994.75,1002.9,287841
2025-10-28,998.85,1008.45,995.8,1003.55,316782
2025-10-29,1003.9,1012.2,1000.0,1007.9,495087
2025-10-30,1001.0,1009.75,997.0,998.1,837299
2025-10-31,994.9,1004.35,982.2,987.65,944173
2025-11-03,985.5,994.65,983.2,992.5,754198
2025-11-04,989.75,996.7,983.65,985.1,597421
2025-11-06,983.9,991.0,974.2,984.5,1294375
2025-11-07,984.3,984.8,974.55,982.9,611248
2025-11-10,980.0,991.75,980.0,984.35,501924
2025-11-11,985.0,993.25,978.15,991.7,235562
2025-11-12,1000.0,1000.0,987.35,989.45,493627
2025-11-13,983.75,990.3,982.5,986.8,1462892
2025-11-14,971.5,991.55,971.45,988.85,408881
2025-11-17,990.05,997.95,985.55,996.8,1934061
2025-11-18,997.5,998.8,989.0,991.6,289231
2025-11-19,989.95,996.5,984.0,994.65,343679
2025-11-20,998.8,1011.0,992.1,1008.8,1603223
2025-11-21,1002.05,1008.6,996.5,998.15,833398
2025-11-24,998.2,1011.0,994.35,999.05,675044
2025-11-25,1004.0,1006.05,988.4,989.85,464725
2025-11-26,985.05,1006.95,983.0,1003.85,1611446
2025-11-27,1001.0,1016.85,1001.0,1009.25,2242837
2025-11-28,1007.95,1012.0,1004.3,1007.0,153665
2025-12-01,1016.05,1017.9,999.4,1002.55,330942
2025-12-02,993.0,994.5,985.7,990.0,424122
2025-12-03,988.45,1002.3,987.85,1000.45,573043
2025-12-04,998.25,1004.75,992.55,997.25,1499772
2025-12-05,990.95,1007.9,990.95,1003.1,406479
2025-12-08,999.0,1006.3,997.8,1003.1,201445
2025-12-09,993.85,1002.75,993.85,996.85,373651
2025-12-10,996.85,998.65,985.2,990.35,579203
2025-12-11,990.95,1002.7,988.55,1000.2,1479629
2025-12-12,1001.9,1004.7,998.05,1000.2,380119
2025-12-15,992.0,1002.0,991.95,995.85,109101
2025-12-16,992.85,998.55,991.0,994.15,800750
2025-12-17,998.05,998.05,980.85,984.3,1068420
2025-12-18,979.9,987.3,976.25,979.65,1528119
2025-12-19,983.0,988.0,979.0,985.95,943842
2025-12-22,985.9,992.8,984.05,987.45,403890
2025-12-23,991.8,998.5,987.7,996.4,249755
2025-12-24,994.2,999.3,993.25,997.1,448011
2025-12-26,996.0,997.3,988.5,992.4,144333
2025-12-29,992.4,997.3,987.0,991.55,450062
2025-12-30,991.85,994.85,982.2,990.7,662628
2025-12-31,991.6,997.5,987.8,991.75,398496
2026-01-01,992.05,997.5,989.3,990.75,1055343
2026-01-02,990.75,1003.0,988.95,1001.2,341045
2026-01-05,1002.1,1006.3,976.35,977.7,1269360
2026-01-06,968.45,968.45,955.9,962.4,2306092
2026-01-07,957.2,957.6,946.0,949.15,7401483
2026-01-08,945.0,952.85,941.7,946.6,9669961
2026-01-09,946.45,950.35,933.2,938.7,1014507
2026-01-12,938.7,942.0,929.55,936.65,823824
2026-01-13,945.05,947.95,934.0,937.25,742953
2026-01-14,932.0,940.05,920.2,926.0,1217236
2026-01-16,924.75,936.25,919.5,931.15,1820553
2026-01-19,938.3,938.75,919.45,927.6,1796067
2026-01-20,927.65,934.5,920.0,931.15,4299767
2026-01-21,925.0,932.7,915.4,920.15,685008
2026-01-22,926.25,928.25,913.5,919.4,1972674
2026-01-23,919.4,925.95,909.25,916.25,598461
