,Open,High,Low,Close,Volume
2025-09-05,1412.55,1412.55,1388.1,1402.7,167022
2025-09-08,1401.0,1410.5,1397.7,1402.35,100913
2025-09-09,1407.9,1407.9,1395.5,1403.0,51808
2025-09-10,1416.35,1416.35,1402.0,1403.45,681955
2025-09-11,1397.35,1407.7,1396.0,1401.8,944316
2025-09-12,1401.9,1419.85,1400.0,1417.6,261700
2025-09-15,1419.3,1426.85,1416.65,1419.5,131231
2025-09-16,1419.45,1424.7,1414.5,1421.75,112965
2025-09-17,1420.0,1426.55,1416.4,1418.85,183523
2025-09-18,1429.0,1432.5,1415.25,1421.85,386581
2025-09-19,1418.95,1418.95,1400.65,1402.4,137834
2025-09-22,1395.55,1409.8,1395.55,1401.4,129581
2025-09-23,1401.0,1403.0,1393.15,1394.55,100843
2025-09-24,1386.0,1390.9,1377.0,1381.95,265266
2025-09-25,1379.0,1391.25,1373.2,1375.5,747764
2025-09-26,1369.75,1370.4,1357.0,1360.75,202190
2025-09-29,1357.95,1366.55,1345.5,1347.05,238154
2025-09-30,1355.0,1356.0,1343.0,1348.05,70380
2025-10-01,1349.15,1379.55,1344.7,1371.95,1627104
2025-10-02,1371.95,1371.95,1371.95,1371.95,0
2025-10-03,1374.35,1374.35,1361.2,1365.0,709738
2025-10-06,1367.05,1372.5,1359.5,1362.9,218338
2025-10-07,1365.4,1383.0,1364.0,1376.1,504543
2025-10-08,1373.9,1381.25,1364.4,1370.15,506954
2025-10-09,1371.6,1378.95,1365.65,1376.2,947428
2025-10-10,1368.9,1385.15,1368.9,1380.65,472687
2025-10-13,1371.05,1385.45,1371.05,1379.05,533316
2025-10-14,1385.3,1387.3,1375.0,1384.1,203114
2025-10-15,1386.0,1400.2,1385.4,1398.4,781065
2025-10-16,1400.05,1419.05,1399.05,1417.2,1430422
2025-10-17,1413.9,1439.6,1411.4,1436.7,591326
2025-10-20,1441.2,1441.95,1389.25,1390.9,625035
2025-10-21,1386.95,1388.0,1376.1,1382.2,137520
