,Open,High,Low,Close,Volume
2025-09-05,1469.5,1472.55,1433.15,1444.35,251340
2025-09-08,1452.0,1458.45,1428.35,1432.65,144710
2025-09-09,1480.0,1507.0,1472.6,1504.75,575264
2025-09-10,1509.0,1534.5,1509.0,1532.65,425557
2025-09-11,1530.0,1530.0,1506.65,1509.5,817985
2025-09-12,1544.65,1544.65,1522.65,1525.55,443179
2025-09-15,1524.1,1527.0,1501.4,1508.05,165226
2025-09-16,1508.05,1514.35,1503.95,1511.35,188722
2025-09-17,1515.25,1526.75,1514.0,1523.0,213257
2025-09-18,1545.0,1554.8,1538.0,1540.25,661566
2025-09-19,1541.4,1550.95,1520.6,1540.3,145218
2025-09-22,1480.05,1514.7,1480.05,1500.1,722265
2025-09-23,1493.05,1512.95,1493.05,1497.75,216313
2025-09-24,1493.0,1496.7,1483.1,1494.2,238872
2025-09-25,1487.0,1503.0,1476.55,1484.65,451972
2025-09-26,1478.65,1478.65,1441.3,1448.6,208390
2025-09-29,1460.05,1464.75,1436.7,1440.3,1692478
2025-09-30,1443.0,1451.8,1438.4,1442.05,82243
2025-10-01,1445.4,1449.5,1427.35,1445.65,900662
2025-10-02,1445.65,1445.65,1445.65,1445.65,0
2025-10-03,1443.45,1448.7,1433.8,1446.55,139459
2025-10-06,1446.55,1478.6,1442.05,1475.15,78527
2025-10-07,1479.35,1483.0,1454.1,1456.1,222046
2025-10-08,1456.1,1497.9,1455.0,1494.95,285653
2025-10-09,1503.9,1513.4,1487.1,1509.4,581651
2025-10-10,1510.05,1521.05,1497.95,1514.25,203481
2025-10-13,1499.95,1504.75,1483.5,1493.0,314857
2025-10-14,1494.95,1514.85,1486.2,1489.8,163842
2025-10-15,1488.0,1488.7,1467.4,1473.9,331279
2025-10-16,1475.0,1484.85,1460.2,1472.75,764627
2025-10-17,1459.0,1459.0,1433.8,1441.3,709603
2025-10-20,1446.15,1466.85,1446.15,1461.5,403826
2025-10-21,1477.25,1484.6,1470.0,1472.0,161060
2025-10-23,1515.0,1545.7,1506.9,1528.85,1133053
2025-10-24,1538.0,1542.3,1517.45,1525.4,373169
2025-10-27,1512.3,1515.0,1498.0,1504.8,295388
2025-10-28,1498.2,1505.55,1490.5,1500.6,443272
2025-10-29,1500.0,1519.8,1496.85,1510.8,273304
2025-10-30,1506.0,1507.8,1489.0,1493.6,556398
2025-10-31,1491.55,1496.95,1481.0,1482.5,330766
2025-11-03,1481.3,1490.0,1474.35,1485.35,296650
2025-11-04,1480.0,1481.2,1463.0,1468.0,162143
2025-11-05,1468.0,1468.0,1468.0,1468.0,0
2025-11-06,1473.2,1482.7,1461.3,1466.25,1067624
2025-11-07,1470.0,1481.15,1449.35,1477.35,402284
2025-11-10,1495.0,1520.0,1490.15,1514.6,664564
2025-11-11,1523.25,1532.5,1511.0,1530.6,521626
