,Open,High,Low,Close,Volume
2025-09-01,410.0,410.2,405.0,405.7,414684
2025-09-02,407.0,407.8,404.55,406.65,479536
2025-09-03,408.25,413.3,407.25,411.5,447157
2025-09-04,422.0,425.7,415.0,415.85,1008347
2025-09-05,415.2,416.95,404.4,407.5,893710
2025-09-08,408.15,410.55,407.0,407.4,351472
2025-09-09,408.55,410.95,407.3,410.2,541739
2025-09-10,411.35,413.6,409.0,412.95,470784
2025-09-11,412.95,416.75,412.9,415.0,1058148
2025-09-12,415.55,416.8,412.95,413.6,928471
2025-09-15,413.55,414.55,411.75,412.65,3926540
2025-09-16,412.8,414.2,411.9,413.15,783817
2025-09-17,413.5,414.85,408.15,409.3,1155208
2025-09-18,411.8,412.95,410.1,411.95,943407
2025-09-19,411.95,412.5,409.1,410.15,1344608
2025-09-22,410.35,411.2,406.1,407.1,1025287
2025-09-23,407.1,407.9,402.2,403.35,1192017
2025-09-24,403.5,404.1,400.8,401.25,5827502
2025-09-25,400.85,402.8,398.1,400.2,1035091
2025-09-26,399.35,405.4,399.35,405.05,998159
2025-09-29,408.05,408.05,403.25,406.45,342483
2025-09-30,406.5,407.15,400.4,401.6,257240
2025-10-01,401.9,406.15,399.65,405.65,1381859
2025-10-03,403.6,405.4,402.3,404.35,629927
2025-10-06,402.75,403.95,399.65,400.8,528221
2025-10-07,401.35,402.75,399.6,399.85,1065308
2025-10-08,400.05,401.8,398.0,399.7,3648830
2025-10-09,399.7,401.4,399.0,399.9,1065847
2025-10-10,398.15,403.9,398.15,402.8,4087277
2025-10-13,399.55,400.95,398.6,399.1,496628
2025-10-14,399.7,401.0,396.25,396.7,183443
2025-10-15,398.65,400.9,397.3,400.05,408357
2025-10-16,400.2,405.7,399.7,405.05,1694286
2025-10-17,405.05,413.75,405.05,412.1,1124012
2025-10-20,412.0,414.8,411.3,412.95,660387
2025-10-21,414.45,414.45,412.4,412.85,99331
2025-10-23,415.0,420.25,413.35,415.85,2147295
2025-10-24,415.85,418.0,413.4,417.1,1648664
2025-10-27,417.0,422.5,416.6,420.35,844482
2025-10-28,420.0,421.65,416.0,417.95,450198
2025-10-29,417.05,422.0,416.05,421.6,661655
2025-10-30,421.6,421.85,416.15,418.7,1707852
2025-10-31,419.8,426.5,418.35,420.25,1144792
2025-11-03,420.25,421.7,413.4,413.95,454748
2025-11-04,413.95,414.65,408.35,408.6,664472
2025-11-06,409.2,413.1,406.45,407.3,1904518
2025-11-07,405.45,409.1,403.6,404.0,757484
2025-11-10,404.0,407.0,403.9,405.65,914325
2025-11-11,406.55,407.85,404.6,406.85,347048
2025-11-12,407.55,407.8,405.6,407.05,360450
2025-11-13,406.4,407.8,404.6,405.75,1056900
2025-11-14,404.25,408.8,400.3,407.85,571505
2025-11-17,411.0,411.0,406.05,407.1,126084
2025-11-18,407.2,408.5,404.5,405.75,294096
2025-11-19,404.6,405.0,402.7,403.55,166598
2025-11-20,403.55,407.0,403.2,405.5,1179441
2025-11-21,405.0,408.4,404.45,407.8,447626
2025-11-24,410.95,410.95,402.75,403.6,179485
2025-11-25,404.0,404.5,400.1,400.7,313693
2025-11-26,401.0,404.1,401.0,402.25,385371
2025-11-27,403.25,405.55,402.0,403.95,1323253
2025-11-28,404.0,404.75,402.55,404.4,1317040
2025-12-01,402.35,405.5,398.3,404.4,1222939
2025-12-02,401.15,405.4,400.5,401.05,408653
2025-12-03,401.35,402.2,398.9,400.55,1385564
2025-12-04,400.25,403.4,399.05,403.05,2453631
2025-12-05,403.05,405.35,401.8,404.8,598309
2025-12-08,404.55,405.25,400.7,402.15,729597
2025-12-09,402.35,404.5,400.1,400.85,619248
2025-12-10,400.85,404.5,400.85,403.1,512726
2025-12-11,403.1,404.0,401.2,403.05,1251248
2025-12-12,402.55,403.85,400.0,400.5,703404
2025-12-15,399.65,403.35,399.65,402.3,491708
2025-12-16,401.0,405.65,401.0,401.7,622327
2025-12-17,401.65,403.0,399.3,399.95,4011014
2025-12-18,399.95,402.0,399.75,400.2,1051875
2025-12-19,400.95,402.95,400.35,401.1,989497
2025-12-22,401.1,403.65,401.0,402.55,565424
2025-12-23,401.8,408.9,401.8,407.65,609312
2025-12-24,407.05,409.1,405.45,406.65,1608273
2025-12-26,405.1,407.2,403.65,404.3,425049
2025-12-29,403.45,404.6,400.0,402.4,45895840
2025-12-30,401.85,403.45,400.4,400.6,412174
2025-12-31,401.05,403.7,400.65,403.0,365582
2026-01-01,402.25,402.3,362.7,363.95,11884140
2026-01-02,360.45,360.45,345.35,350.15,8128503
2026-01-05,350.15,353.9,346.3,349.7,3273277
2026-01-06,350.05,350.85,337.9,342.45,3855421
2026-01-07,342.85,344.5,339.35,341.35,2056507
2026-01-08,341.5,344.95,339.0,340.9,2691424
2026-01-09,340.85,341.0,336.1,337.1,2707167
2026-01-12,338.0,339.6,335.8,338.35,593084
2026-01-13,339.05,339.7,333.8,334.65,720846
2026-01-14,335.1,336.0,333.35,334.75,694387
2026-01-16,337.05,337.5,328.6,329.25,1605969
2026-01-19,329.25,334.65,327.25,332.9,1068166
2026-01-20,334.8,334.8,325.75,326.4,655509
2026-01-21,326.35,329.55,324.35,324.7,1301973
2026-01-22,326.95,328.7,321.2,324.9,753460
2026-01-23,326.5,326.5,322.75,323.45,943769
