,Open,High,Low,Close,Volume
2025-09-01,3600.0,3625.8999,3581.1499,3599.25,46699
2025-09-02,3595.0,3619.8999,3561.0,3572.45,57315
2025-09-03,3574.25,3606.3501,3561.0,3600.25,152204
2025-09-04,3646.8,3646.8,3571.6499,3592.5,394358
2025-09-05,3580.3,3609.1001,3550.0,3552.75,43496
2025-09-08,3576.0,3578.3999,3484.1001,3517.75,97380
2025-09-09,3567.7,3567.7,3503.3999,3521.0,69526
2025-09-10,3555.05,3577.6499,3539.95,3553.25,114160
2025-09-11,3551.6001,3565.3501,3532.5,3539.2,414283
2025-09-12,3550.1499,3595.0,3550.1499,3579.6001,45153
2025-09-15,3581.0,3607.3999,3577.0,3585.3501,44659
2025-09-16,3607.6499,3675.0,3596.2,3667.1499,104280
2025-09-17,3668.05,3704.0,3660.8501,3685.1001,163719
2025-09-18,3695.0,3701.3999,3672.55,3687.0,386729
2025-09-19,3665.2,3704.8999,3665.2,3675.8501,89983
2025-09-22,3678.1499,3691.6001,3633.0,3642.1499,58989
2025-09-23,3640.05,3672.25,3615.0,3658.3,36656
2025-09-24,3661.8501,3708.3501,3636.8501,3678.3999,113508
2025-09-25,3681.0,3703.8501,3634.2,3644.2,331750
2025-09-26,3653.05,3794.7,3653.05,3731.1001,241587
2025-09-29,3748.95,3748.95,3678.6499,3687.6001,120973
2025-09-30,3704.3,3704.3,3649.0,3658.8,62756
2025-10-01,3646.2,3681.0,3614.8,3670.1499,634560
2025-10-03,3685.0,3744.8501,3667.3,3732.3501,81874
2025-10-06,3731.3501,3767.45,3703.05,3736.2,117471
2025-10-07,3764.45,3765.0,3725.7,3730.7,113675
2025-10-08,3728.5,3759.75,3714.1499,3728.0,93633
2025-10-09,3730.0,3795.0,3730.0,3769.3501,322537
2025-10-10,3768.8,3798.5,3760.5,3783.3,73446
2025-10-13,3782.95,3783.3,3746.75,3770.3501,93052
2025-10-14,3750.05,3788.8,3731.0,3741.3,103190
2025-10-15,3748.0,3842.95,3744.6001,3824.6499,219934
2025-10-16,3837.8501,3885.45,3831.0,3861.8999,316182
2025-10-17,3853.3999,3868.75,3830.1001,3839.1001,99441
2025-10-20,3860.0,3886.1499,3845.05,3873.7,41002
2025-10-21,3873.75,3893.5,3873.75,3887.1001,36984
2025-10-23,3898.95,3966.2,3889.3,3918.0,279876
2025-10-24,3925.3501,3939.8999,3897.95,3904.3501,25157
2025-10-27,3907.05,3947.25,3907.05,3924.7,50665
2025-10-28,3918.1499,3985.0,3918.1499,3972.8501,326789
2025-10-29,3993.8999,4016.8999,3920.0,3951.7,156990
2025-10-30,3994.0,4062.5,3976.7,3987.8,843770
2025-10-31,3998.7,4045.05,3982.8999,4031.2,91056
2025-11-03,4025.2,4039.8,3975.0,3980.1001,68908
2025-11-04,3985.0,3990.3501,3917.8501,3921.2,123633
2025-11-06,3940.0,3975.0,3871.1001,3880.8,415683
2025-11-07,3880.8,3892.7,3831.75,3881.65,82729
2025-11-10,3885.25,3943.0,3885.25,3919.05,81045
2025-11-11,3921.5,3966.3,3896.5,3953.3501,43248
2025-11-12,3970.0,3973.45,3937.6001,3953.3501,47364
2025-11-13,3953.3999,4022.7,3927.1001,4001.95,311885
2025-11-14,4000.0,4010.1001,3971.5,3995.3,39035
2025-11-17,4008.0,4030.0,4001.75,4028.1001,29993
