,Open,High,Low,Close,Volume
2025-08-29,802.0,807.0,798.6,802.35,520632
2025-09-01,802.65,808.25,802.65,805.9,164286
2025-09-02,809.9,810.5,802.9,803.95,119021
2025-09-03,805.0,813.2,803.1,812.15,187814
2025-09-04,816.75,816.75,807.85,809.35,619504
2025-09-05,811.9,812.2,803.6,806.95,272131
2025-09-08,807.1,813.5,807.1,809.0,268859
2025-09-09,810.35,812.45,805.4,808.95,170532
2025-09-10,811.2,824.5,810.2,818.3,489810
2025-09-11,816.25,825.5,816.25,823.8,1044344
2025-09-12,824.9,825.35,819.9,823.3,297096
2025-09-15,823.3,828.0,821.4,824.9,139666
2025-09-16,823.4,833.0,821.6,831.8,368364
2025-09-17,833.25,858.0,831.0,856.95,1807341
2025-09-18,856.7,860.9,851.05,854.45,719272
2025-09-19,852.5,863.5,849.05,862.25,552336
2025-09-22,862.9,868.0,853.9,855.05,266104
2025-09-23,851.1,874.0,851.1,870.5,388234
2025-09-24,875.2,880.4,864.55,865.85,450238
2025-09-25,865.85,870.05,859.55,861.05,804427
2025-09-26,861.05,864.15,852.5,857.0,342057
2025-09-29,857.05,873.0,855.9,870.5,533094
2025-09-30,870.45,877.5,867.85,872.55,229410
2025-10-01,872.6,876.5,862.4,864.05,2208404
2025-10-03,864.15,872.95,863.85,867.05,783340
2025-10-06,868.9,874.9,862.55,874.05,652683
2025-10-07,874.05,875.95,863.05,864.7,715720
2025-10-08,866.1,868.0,857.3,858.05,663817
2025-10-09,861.25,865.65,858.25,862.1,1347934
2025-10-10,861.2,883.7,861.2,880.75,1334463
2025-10-13,879.95,888.05,875.8,883.0,620211
2025-10-14,883.0,884.5,872.15,876.9,281465
2025-10-15,877.2,887.75,877.2,886.2,564545
2025-10-16,886.75,891.9,882.5,886.9,1072968
2025-10-17,886.25,894.6,882.6,889.35,436700
2025-10-20,893.7,913.4,891.55,906.85,835351
2025-10-23,910.55,917.9,904.8,911.45,1321998
2025-10-24,911.45,914.2,900.8,904.4,176431
2025-10-27,905.5,927.9,905.5,923.25,392249
2025-10-28,923.25,935.9,917.8,930.25,641738
2025-10-29,932.6,941.65,930.3,939.8,1089247
2025-10-30,940.0,944.6,932.9,934.1,1338039
2025-10-31,935.8,946.7,930.25,937.0,780748
2025-11-03,938.5,953.15,937.8,950.25,696733
2025-11-04,952.25,959.0,941.35,957.05,948033
2025-11-06,966.35,971.15,955.3,960.75,1731058
2025-11-07,959.95,964.5,944.0,955.95,582333
2025-11-10,955.95,963.0,949.15,951.85,387727
2025-11-11,954.0,954.5,945.05,953.3,1406920
2025-11-12,958.0,961.5,951.05,957.35,359053
2025-11-13,955.7,964.0,952.2,954.55,968319
2025-11-14,954.25,969.0,953.0,967.35,478259
2025-11-17,974.15,976.2,969.95,973.2,215607
2025-11-18,976.8,976.8,970.0,972.55,392640
2025-11-19,972.5,984.5,969.0,982.45,240778
2025-11-20,988.95,988.95,979.0,981.7,1009998
2025-11-21,979.95,980.55,971.0,972.6,188598
2025-11-24,974.2,977.85,967.7,970.3,444259
2025-11-25,976.0,988.9,971.5,983.2,243325
2025-11-26,987.4,999.1,982.2,984.05,412996
2025-11-27,987.85,988.0,968.8,972.85,1490247
2025-11-28,977.0,983.0,973.0,979.55,397881
2025-12-01,984.7,991.25,970.2,973.15,312355
2025-12-02,976.0,980.05,964.55,967.75,528774
2025-12-03,972.25,972.25,947.35,951.4,875186
2025-12-04,951.7,952.55,944.1,948.05,2062068
2025-12-05,948.8,972.8,946.8,971.4,511017
2025-12-08,972.35,972.5,951.0,956.1,2120466
2025-12-09,956.05,964.2,950.8,959.35,374212
2025-12-10,959.35,964.0,955.1,959.55,423587
2025-12-11,963.95,966.45,958.25,963.4,1563506
2025-12-12,964.05,967.0,958.0,962.9,205217
2025-12-15,959.95,969.3,957.05,967.15,118671
2025-12-16,967.95,969.0,958.8,961.4,222081
2025-12-17,965.0,978.5,965.0,975.9,569861
2025-12-18,976.75,981.0,973.5,977.7,594574
2025-12-19,978.15,981.9,977.0,980.15,261032
2025-12-22,983.9,983.9,972.6,974.25,395098
2025-12-23,975.05,977.6,970.45,971.85,181180
2025-12-24,972.1,977.5,967.95,969.0,406527
2025-12-26,967.1,971.15,964.45,966.4,401851
2025-12-29,965.95,968.3,961.45,964.85,326921
2025-12-30,963.55,976.0,959.35,973.3,340615
2025-12-31,976.0,985.45,973.55,982.2,332569
2026-01-01,982.2,987.7,980.2,984.7,848654
2026-01-02,984.75,1009.3,984.05,999.35,489973
2026-01-05,1000.1,1015.4,1000.1,1005.35,574850
2026-01-06,1008.9,1023.95,1005.0,1018.75,696022
2026-01-07,1020.05,1022.0,1004.3,1007.1,522691
2026-01-08,1005.15,1011.9,995.6,997.85,717133
2026-01-09,996.95,1008.0,994.55,1000.0,508305
2026-01-12,1005.45,1016.9,996.05,1015.05,206672
2026-01-13,1019.4,1029.4,1015.7,1028.45,3578570
2026-01-14,1028.5,1030.0,1021.0,1028.3,549159
2026-01-16,1029.1,1047.5,1028.45,1042.3,536890
2026-01-19,1036.0,1043.55,1033.65,1038.2,270858
2026-01-20,1044.8,1051.9,1033.3,1037.15,269961
2026-01-21,1030.85,1040.45,1021.8,1028.15,546284
2026-01-22,1032.35,1055.35,1032.35,1048.25,762610
2026-01-23,1053.9,1053.9,1025.55,1029.4,453196
