,Open,High,Low,Close,Volume
2025-09-05,3099.95,3104.6001,3029.5,3048.45,191114
2025-09-08,3048.5,3066.55,3016.6001,3019.3,194003
2025-09-09,3034.8999,3059.8999,3031.05,3049.45,111210
2025-09-10,3055.0,3122.0,3055.0,3110.1499,250881
2025-09-11,3133.05,3138.3,3110.1499,3123.95,533044
2025-09-12,3140.05,3148.5,3120.3501,3134.05,43288
2025-09-15,3126.05,3131.0,3096.0,3111.5,103887
2025-09-16,3129.95,3150.0,3109.3999,3145.45,74763
2025-09-17,3155.45,3182.0,3141.45,3172.8,142149
2025-09-18,3186.8,3202.95,3161.0,3176.25,365538
2025-09-19,3169.95,3177.3,3144.5,3169.8501,44929
2025-09-22,3070.1001,3106.6001,3063.05,3074.05,385138
2025-09-23,3074.0,3080.95,3052.25,3062.3501,137822
2025-09-24,3049.95,3058.3999,3034.0,3036.1499,93221
2025-09-25,3024.95,3030.3501,2951.0,2960.3501,569581
2025-09-26,2940.0,2952.0,2892.0,2900.1001,590085
2025-09-29,2911.1499,2928.8,2892.5,2896.3999,187488
2025-09-30,2919.8,2919.8,2886.0,2889.0,150363
2025-10-01,2889.0,2924.3999,2867.55,2914.1001,566102
2025-10-02,2914.1001,2914.1001,2914.1001,2914.1001,0
2025-10-03,2920.05,2924.3999,2891.7,2902.1499,80725
2025-10-06,2902.0,2992.0,2895.95,2988.05,190827
2025-10-07,2997.0,3004.5,2955.5,2973.8501,90183
2025-10-08,2973.8501,3042.0,2969.0,3026.8501,360325
2025-10-09,3035.0,3066.55,3020.1499,3061.95,439505
2025-10-10,3064.8999,3070.05,3006.6499,3028.3999,286309
2025-10-13,3005.05,3036.0,2998.8,3007.1499,135947
2025-10-14,3010.05,3027.0,2957.0,2960.3,145577
2025-10-15,2974.95,2979.8999,2951.6001,2969.0,229177
2025-10-16,2969.0,2974.55,2944.25,2970.8501,534755
2025-10-17,2970.8501,2988.0,2955.05,2962.6001,143733
2025-10-20,2971.1499,3022.0,2971.1499,3014.25,492693
2025-10-21,3033.95,3033.95,2996.05,3007.25,29725
2025-10-23,3040.0,3097.95,3038.6001,3074.6499,1303141
2025-10-24,3084.95,3090.0,3058.05,3062.45,127168
2025-10-27,3063.2,3093.75,3060.8999,3084.55,52850
2025-10-28,3081.8999,3090.0,3041.05,3056.8501,161232
2025-10-29,3056.8501,3075.3501,3046.5,3057.3501,56349
2025-10-30,3050.0,3064.8999,3031.8,3035.55,216814
2025-10-31,3033.0,3067.0,3026.7,3057.8,75073
2025-11-03,3055.75,3055.75,3010.0,3016.1001,76263
2025-11-04,3025.0,3029.55,2976.0,2989.8,133856
2025-11-05,2989.8,2989.8,2989.8,2989.8,0
2025-11-06,2989.8,3024.0,2989.8,3011.05,586552
2025-11-07,2996.2,3002.3999,2960.0,2992.3501,167733
2025-11-10,2990.0,3047.0,2990.0,3025.8,111706
2025-11-11,3047.8999,3055.0,3017.5,3048.1499,111395
2025-11-12,3056.1001,3136.0,3056.1001,3131.25,309022
2025-11-13,3131.25,3132.0,3101.05,3105.7,477009
2025-11-14,3099.75,3112.1001,3077.5,3105.0,167532
2025-11-17,3109.95,3111.0,3087.6001,3102.55,41297
