,Open,High,Low,Close,Volume
2025-09-01,3632.0,3652.0,3610.3999,3618.5,11032
2025-09-02,3618.45,3655.0,3606.6001,3617.95,6789
2025-09-03,3600.0,3697.0,3593.0,3691.3999,12751
2025-09-04,3725.1499,3725.2,3677.0,3686.3501,23336
2025-09-05,3680.1001,3699.95,3660.1001,3665.25,6141
2025-09-08,3660.0,3683.7,3640.55,3658.05,12621
2025-09-09,3667.0,3667.0,3618.8,3629.45,14335
2025-09-10,3630.3,3644.95,3608.0,3619.3,9122
2025-09-11,3415.05,3640.2,3415.05,3585.05,8853
2025-09-12,3585.2,3608.95,3562.55,3571.0,11075
2025-09-15,3569.95,3573.7,3515.5,3534.25,13847
2025-09-16,3530.45,3570.0,3504.25,3557.8,18521
2025-09-17,3553.75,3575.0,3514.0,3522.8,509437
2025-09-18,3523.05,3545.1001,3504.8999,3510.8999,21571
2025-09-19,3510.8999,3510.8999,3460.3501,3466.6499,22339
2025-09-22,3478.45,3478.45,3440.0,3457.7,10280
2025-09-23,3457.75,3461.1001,3405.3,3439.95,23205
2025-09-24,3430.05,3430.6499,3411.0,3416.8,463772
2025-09-25,3401.1499,3413.6499,3370.0,3378.1499,75346
2025-09-26,3393.55,3400.0,3307.3501,3327.3501,26880
2025-09-29,3327.3501,3417.0,3327.3501,3403.8501,32179
2025-09-30,3421.1001,3476.45,3356.0,3367.3999,38898
2025-10-01,3384.05,3415.0,3351.3501,3405.6499,65058
2025-10-03,3402.55,3459.25,3380.0,3452.3501,15836
2025-10-06,3452.3501,3452.45,3400.8999,3423.55,57066
2025-10-07,3420.55,3445.55,3406.5,3416.55,10491
2025-10-08,3472.8,3580.0,3470.6001,3566.1499,175379
2025-10-09,3565.95,3565.95,3526.8,3550.3,24890
2025-10-10,3549.6499,3570.8,3523.8999,3531.3,13713
2025-10-13,3500.3,3544.7,3500.3,3533.8,35305
2025-10-14,3533.8,3545.0,3504.8501,3533.0,46998
2025-10-15,3525.2,3562.3,3511.3999,3548.95,42487
2025-10-16,3574.3999,3652.0,3545.55,3642.45,56443
2025-10-17,3630.05,3714.7,3630.05,3675.3,63894
2025-10-20,3671.6499,3748.8999,3671.6499,3737.3999,53038
2025-10-21,3737.0,3746.3,3720.75,3728.95,21196
2025-10-23,3755.05,3797.3999,3738.75,3771.8501,77935
2025-10-24,3771.8501,3780.0,3706.25,3715.0,33245
2025-10-27,3702.6001,3753.0,3702.6001,3738.6001,24060
2025-10-28,3740.0,3765.1001,3688.5,3715.8501,20595
2025-10-29,3719.0,3753.0,3714.3501,3747.6499,17884
2025-10-30,3747.0,3773.3501,3720.05,3751.25,180412
2025-10-31,3750.1499,3782.3999,3740.3501,3745.2,19500
2025-11-03,3744.7,3761.0,3669.7,3727.8,26190
2025-11-04,3738.8999,3826.0,3720.25,3812.8501,115525
2025-11-06,3783.0,3836.95,3759.8501,3776.95,32283
2025-11-07,3765.0,3792.0,3734.1001,3768.8,29901
2025-11-10,3808.1001,3815.6499,3778.25,3801.5,9604
2025-11-11,3803.1499,3821.2,3755.8,3812.1499,22464
2025-11-12,3840.0,3876.0,3802.45,3851.2,16238
2025-11-13,3850.6499,3865.0,3818.0,3837.3,19220
2025-11-14,3855.6499,3855.6499,3800.1001,3824.3999,12056
2025-11-17,3840.1001,3874.0,3829.2,3869.1499,11982
2025-11-18,3869.0,3898.3999,3842.3999,3883.3,23013
2025-11-19,3872.3999,3939.95,3869.5,3932.75,38751
2025-11-20,3936.45,3954.8999,3892.8,3901.2,48009
2025-11-21,3901.2,3924.0,3884.5,3904.8501,12290
2025-11-24,3908.5,3936.65,3865.0,3873.8,25403
2025-11-25,3874.5,3908.2,3845.0,3852.45,15704
2025-11-26,3852.45,3914.9,3849.0,3896.75,5161
2025-11-27,3896.75,3925.0,3876.6,3903.75,26898
2025-11-28,3903.75,3934.9,3897.25,3908.95,33054
2025-12-01,3900.8,3910.0,3861.1,3892.8,14622
2025-12-02,3888.85,3899.0,3867.2,3886.95,12291
2025-12-03,3894.7,3894.7,3786.0,3814.55,17180
2025-12-04,3809.95,3830.0,3779.3,3800.2,9148
2025-12-05,3769.2,3825.9,3769.2,3814.3,5277
2025-12-08,3766.2,3824.15,3761.0,3765.0,17848
2025-12-09,3770.0,3871.85,3751.3,3845.3,17619
2025-12-10,3845.25,3858.7,3823.8,3845.25,8502
2025-12-11,3843.75,3856.55,3778.0,3843.8,94721
2025-12-12,3844.5,3894.35,3836.15,3880.4,12639
2025-12-15,3859.0,3874.55,3851.0,3865.8,7960
2025-12-16,3863.05,3935.0,3831.2,3927.6,13529
2025-12-17,3928.0,3936.1001,3890.2,3906.6499,89039
2025-12-18,3906.7,3923.0,3891.7,3918.2,6402
2025-12-19,3934.3,3962.0,3912.05,3930.3,8329
2025-12-22,3931.05,3949.0,3916.05,3932.45,30267
2025-12-23,3939.95,3956.0,3916.75,3922.55,5147
2025-12-24,3929.8501,3931.3,3899.1001,3908.5,13721
2025-12-26,3892.7,4008.0,3892.7,3991.6499,30544
2025-12-29,4001.0,4030.0,3977.45,3981.8501,38327
2025-12-30,3966.3501,3994.5,3952.0,3974.05,16689
2025-12-31,3981.0,4061.95,3980.0,4050.6499,46235
2026-01-01,4050.7,4068.75,4036.2,4048.45,26259
